時間,巢穴,活動區,出風口,風扇(%),狀態
2026/7/22 16:07:30,29.1,29.3,29.4,0,維持
2026/7/22 16:07:31,29.1,29.3,29.4,0,維持
2026/7/22 16:07:32,29.1,29.3,29.4,0,維持
2026/7/22 16:07:33,29.1,29.3,29.4,0,維持
2026/7/22 16:07:34,29.1,29.3,29.5,100,製冷
2026/7/22 16:07:35,29.1,29.3,29.5,100,製冷
2026/7/22 16:07:36,29.1,29.3,29.5,100,製冷
2026/7/22 16:07:37,29.1,29.3,29.5,100,製冷
2026/7/22 16:07:38,29.3,29.3,29.5,100,製冷
2026/7/22 16:07:39,29.3,29.3,29.5,100,製冷
2026/7/22 16:07:40,29.3,29.3,29.5,100,製冷
2026/7/22 16:07:41,29.3,29.3,29.5,100,製冷
2026/7/22 16:07:42,29.3,29.4,29.6,100,製冷
2026/7/22 16:07:43,29.3,29.4,29.6,100,製冷
2026/7/22 16:07:44,29.3,29.4,29.6,100,製冷
2026/7/22 16:07:45,29.3,29.4,29.6,100,製冷
2026/7/22 16:07:46,29.4,29.4,29.6,100,製冷
2026/7/22 16:07:47,29.4,29.4,29.6,100,製冷
2026/7/22 16:07:48,29.4,29.4,29.6,100,製冷
2026/7/22 16:07:49,29.4,29.4,29.6,100,製冷
2026/7/22 16:07:50,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:51,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:52,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:53,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:54,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:55,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:56,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:57,29.4,29.5,29.8,100,製冷
2026/7/22 16:07:58,29.5,29.5,29.8,100,製冷
2026/7/22 16:07:59,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:00,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:01,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:02,29.5,29.6,29.8,100,製冷
2026/7/22 16:08:03,29.5,29.6,29.8,100,製冷
2026/7/22 16:08:04,29.5,29.6,29.8,100,製冷
2026/7/22 16:08:05,29.5,29.6,29.8,100,製冷
2026/7/22 16:08:06,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:07,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:08,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:09,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:10,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:11,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:12,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:13,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:14,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:15,29.5,29.5,29.8,100,製冷
2026/7/22 16:08:16,29.5,29.5,29.8,100,製冷
